TIME,GEO,AIRPOL,AIRSECT,Value
1992,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,573,642"
1992,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"37,466"
1992,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"69,803"
1992,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"104,719"
1992,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"14,331"
1992,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"711,466"
1992,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"11,770"
1992,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"168,621"
1992,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"55,201"
1992,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,312,621"
1992,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"376,379"
1992,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"759,695"
1992,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"193,316"
1992,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"353,795"
1992,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"144,492"
1992,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"94,537"
1992,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"3,463,602"
1992,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"22,197"
1992,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,95
1992,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"36,936"
1992,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"33,076"
1992,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"1,878,000"
1993,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"333,314"
1993,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,208,811"
1993,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"1,466,041"
1993,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"150,180"
1993,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"2,904,920"
1993,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"155,223"
1993,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"162,092"
1993,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"528,027"
1993,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"2,021,296"
1993,France,Sulphur oxides,Total sectors of emissions for the national territory,"1,074,482"
1993,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"112,778"
1993,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,471,076"
1993,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"39,641"
1993,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"65,746"
1993,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"90,309"
1993,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"15,347"
1993,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"719,833"
1993,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"14,130"
1993,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"157,422"
1993,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"53,581"
1993,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,298,269"
1993,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"320,040"
1993,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"694,649"
1993,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"190,213"
1993,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"326,129"
1993,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"125,984"
1993,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"82,449"
1993,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"3,125,103"
1993,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"20,239"
1993,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,86
1993,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"35,095"
1993,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"26,595"
1993,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"1,761,000"
1994,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"290,619"
1994,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,330,059"
1994,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"1,284,796"
1994,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"153,281"
1994,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"2,418,428"
1994,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"150,048"
1994,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"176,863"
1994,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"523,639"
1994,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,970,397"
1994,France,Sulphur oxides,Total sectors of emissions for the national territory,"1,021,306"
1994,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"100,313"
1994,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,388,913"
1994,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"42,155"
1994,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"66,713"
1994,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"89,605"
1994,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"13,899"
1994,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"631,169"
1994,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"12,938"
1994,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"144,033"
1994,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"47,926"
1994,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,200,875"
1994,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"295,774"
1994,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"688,673"
1994,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"183,805"
1994,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"268,496"
1994,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"119,000"
1994,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"80,459"
1994,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"2,663,139"
1994,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"20,453"
1994,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,87
1994,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"34,874"
1994,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"27,348"
1994,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"1,798,000"
1995,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"258,024"
1995,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,300,748"
1995,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"1,090,231"
1995,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"146,924"
1995,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"1,744,498"
1995,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"115,736"
1995,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"162,667"
1995,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"541,276"
1995,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,826,460"
1995,France,Sulphur oxides,Total sectors of emissions for the national territory,"955,744"
1995,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"78,170"
1995,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,321,650"
1995,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"39,134"
1995,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"49,394"
1995,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"69,365"
1995,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"8,468"
1995,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"615,375"
1995,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"10,593"
1995,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"130,603"
1995,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"47,530"
1995,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,135,037"
1995,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"331,504"
1995,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"696,850"
1995,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"123,771"
1995,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"242,047"
1995,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"99,612"
1995,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"69,199"
1995,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"2,372,002"
1995,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"19,204"
1995,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,74
1995,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"33,825"
1995,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"25,923"
1995,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"1,890,000"
1996,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"248,397"
1996,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,270,481"
1996,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"931,112"
1996,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"176,915"
1996,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"1,476,262"
1996,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"124,705"
1996,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"150,771"
1996,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"535,167"
1996,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,611,041"
1996,France,Sulphur oxides,Total sectors of emissions for the national territory,"927,595"
1996,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"62,472"
1996,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,213,372"
1996,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"41,201"
1996,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"55,680"
1996,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"70,088"
1996,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"7,726"
1996,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"611,918"
1996,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"10,273"
1996,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"118,268"
1996,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"44,809"
1996,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,148,801"
1996,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"273,271"
1996,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"706,949"
1996,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"115,301"
1996,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"204,963"
1996,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"109,710"
1996,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"67,191"
1996,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"2,015,022"
1996,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"21,263"
1996,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,70
1996,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"33,198"
1996,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"25,497"
1996,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"2,024,000"
1997,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"225,229"
1997,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,220,064"
1997,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"977,452"
1997,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"104,893"
1997,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"1,226,088"
1997,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"115,933"
1997,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"168,465"
1997,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"533,521"
1997,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,751,691"
1997,France,Sulphur oxides,Total sectors of emissions for the national territory,"793,664"
1997,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"77,528"
1997,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,138,248"
1997,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"43,349"
1997,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"43,971"
1997,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"65,114"
1997,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"5,364"
1997,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"624,367"
1997,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"10,363"
1997,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"104,116"
1997,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"40,129"
1997,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"1,968,373"
1997,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"288,365"
1997,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"612,727"
1997,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"118,852"
1997,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"172,106"
1997,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"104,683"
1997,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"59,942"
1997,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"1,651,292"
1997,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"20,880"
1997,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,83
1997,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"30,601"
1997,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"23,437"
1997,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"2,192,000"
1998,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"213,381"
1998,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,108,134"
1998,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"438,271"
1998,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"80,526"
1998,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"979,687"
1998,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"104,158"
1998,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"179,666"
1998,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"539,295"
1998,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,591,987"
1998,France,Sulphur oxides,Total sectors of emissions for the national territory,"846,370"
1998,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"95,825"
1998,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,003,409"
1998,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"46,636"
1998,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"39,850"
1998,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"81,428"
1998,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"2,905"
1998,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"568,589"
1998,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"10,586"
1998,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"95,690"
1998,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"35,493"
1998,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"1,763,640"
1998,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"335,952"
1998,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"488,759"
1998,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"109,644"
1998,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"148,391"
1998,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"94,531"
1998,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"56,547"
1998,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"1,629,854"
1998,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"20,511"
1998,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,71
1998,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"30,047"
1998,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"22,248"
1998,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"2,266,000"
1999,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"173,718"
1999,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"835,506"
1999,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"264,352"
1999,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"59,713"
1999,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"799,574"
1999,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"97,779"
1999,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"160,738"
1999,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"556,412"
1999,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,585,312"
1999,France,Sulphur oxides,Total sectors of emissions for the national territory,"710,214"
1999,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"95,915"
1999,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"902,436"
1999,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"48,931"
1999,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"31,968"
1999,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"61,504"
1999,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"2,956"
1999,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"561,616"
1999,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"10,708"
1999,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"89,464"
1999,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"33,588"
1999,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"1,592,256"
1999,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"302,979"
1999,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"436,332"
1999,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"95,793"
1999,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"138,423"
1999,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"91,769"
1999,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"46,751"
1999,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"1,246,271"
1999,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"28,101"
1999,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,52
1999,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"29,366"
1999,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"16,798"
1999,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"2,185,000"
2000,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"173,158"
2000,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"862,614"
2000,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"227,034"
2000,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"32,701"
2000,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"644,448"
2000,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"97,108"
2000,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"141,986"
2000,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"498,697"
2000,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"1,473,314"
2000,France,Sulphur oxides,Total sectors of emissions for the national territory,"630,681"
2000,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"59,795"
2000,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"754,766"
2000,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"48,004"
2000,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"17,570"
2000,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"37,642"
2000,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"3,106"
2000,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"428,300"
2000,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"24,302"
2000,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"73,391"
2000,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"31,559"
2000,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"1,403,628"
2000,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"263,956"
2000,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"490,785"
2000,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"93,647"
2000,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"131,429"
2000,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"79,988"
2000,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"41,758"
2000,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"1,220,235"
2000,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"34,588"
2000,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,45
2000,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"27,178"
2000,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"15,381"
